path,classification,old_selector_dependency,sha256,byte_size,action,replacement_path,replacement_sha256,historical_evidence_retained,reason
results/daytrader/03_stage2_nsga/robustness/seed_00/run_metrics.json,superseded_active_derived,true,df2ed5f59e668fa7136baf0d77dc9a26e85cc8696d9fb8fdf0782bc16c6aedb6,2083,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_01/run_metrics.json,superseded_active_derived,true,1dee0e43f3f5d133f3c5f470b968c954eaa4bd9562456feacaa575d4da8aa755,2082,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_02/run_metrics.json,superseded_active_derived,true,5ab3d63e87a8f68edb45cac7798bac5826245c016570358071ac8a82356d2a2e,2081,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_03/run_metrics.json,superseded_active_derived,true,1614d34f3c04903150bc3d4caf7e27abc5124f9a117571ad9f501ae22c5664a8,2054,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_04/run_metrics.json,superseded_active_derived,true,ea26739449c89e81f71bfdc8fe324527e32871eac4205dd6afae187520903a5a,2054,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_05/run_metrics.json,superseded_active_derived,true,ce5e6c044a891aff5b115a3834a1716f4701574e9294b9378c1339dfc316d70f,2084,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_06/run_metrics.json,superseded_active_derived,true,9adac91daa4f07bfdb0a2b36fed067dfd1ce70bbdd57bf3ab4c16fdeec7c2578,2066,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_07/run_metrics.json,superseded_active_derived,true,e136b106fc9c38f15b604cbc709b0127b3f674d6a97a9fdf5e036b1ba7406af3,2069,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_08/run_metrics.json,superseded_active_derived,true,f427e1154944ab5a2f63e2ea084db9b6010f40b0e28bc2b1868abd4040e5909e,2073,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
results/daytrader/03_stage2_nsga/robustness/seed_09/run_metrics.json,superseded_active_derived,true,4e0df3d865a668f5e933fa82c18abc2861d91db9e0cf061da3dc5c1c333eb369,2083,delete_superseded,results/daytrader/03_stage2_nsga/robustness_final_30seeds/raw_runs.csv,,false,"Old selected-solution metrics; retained Pareto front, candidate labels, run metadata, and manifest remain historical evidence; current canonical replacement is the modularity-band profile."
