family,stage,subject,interval_start,interval_end,response_metric,budget_based_exchange_rate,realised_loss_based_exchange_rate,realised_loss_denominator,stability,interpretation
stage2_balance,stage2,daytrader,0,0.0050000000000000001041,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.0050000000000000001041,0.010000000000000000208,gain,11.628813640820583331,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.010000000000000000208,0.025000000000000001388,gain,3.7199920455997048663,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.025000000000000001388,0.050000000000000002776,gain,0.19227513105266710869,0.25226148979826440444,0.019055141076669199901,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.050000000000000002776,0.10000000000000000555,gain,2.184938581685706982,2.6805228613263780701,0.040755828148478299988,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.10000000000000000555,0.14999999999999991118,gain,0.38946382581806610057,0.63280354009578632102,0.030772886144024499955,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,daytrader,0.14999999999999991118,0.2000000000000000111,gain,0.50630970773471417612,0.42827657603008850717,0.059110133039256301801,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0,0.0050000000000000001041,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.0050000000000000001041,0.010000000000000000208,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.010000000000000000208,0.025000000000000001388,gain,28.17664872069160964,34.746647739144613354,0.012163755594017399558,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.025000000000000001388,0.050000000000000002776,gain,23.094010767585036348,28.498268682147390507,0.020259134883913201136,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.050000000000000002776,0.10000000000000000555,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.10000000000000000555,0.14999999999999991118,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,jpetstore,0.14999999999999991118,0.2000000000000000111,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0,0.0050000000000000001041,gain,2.8390266820303535766,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.0050000000000000001041,0.010000000000000000208,gain,2.0406153126610329096,9.9460141215955495397,0.0010258457748568000894,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.010000000000000000208,0.025000000000000001388,gain,1.1288479513813804989,1.0342603481130783205,0.01637181518329789906,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.025000000000000001388,0.050000000000000002776,gain,1.5215033591145221692,1.7969432351460690178,0.021167938549138998888,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.050000000000000002776,0.10000000000000000555,gain,0.59637507580355653136,0.5993818756112063717,0.049749174947558698345,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.10000000000000000555,0.14999999999999991118,gain,0.71847849159255894325,0.83231377877698431433,0.043161516120056399315,stable,descriptive interval response; no sweet spot selected
stage2_balance,stage2,xerces,0.14999999999999991118,0.2000000000000000111,gain,0.5739841371096258138,0.55064437993772574753,0.052119313119525501055,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0,0.0050000000000000001041,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.0050000000000000001041,0.010000000000000000208,gain,-3.0129686619080136012,-3.9417068218814521607,0.0038219086274786000582,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.010000000000000000208,0.025000000000000001388,gain,1.0043228873026712744,5.3395498846301077123,0.0028213695227201998107,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.025000000000000001388,0.050000000000000002776,gain,-8.4736616972058698138e-05,-8.2176932329257749489e-05,0.025778711424924199286,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.050000000000000002776,0.10000000000000000555,gain,1.4491652778507639887,2.4432509414572010087,0.029656496867784900434,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.10000000000000000555,0.14999999999999991118,gain,0.82418489511589876351,2.2402885349121777203,0.018394614851434898384,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,daytrader,0.14999999999999991118,0.2000000000000000111,gain,0.41259071386614432075,3.1391615452164640665,0.0065716706184627002654,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0,0.0050000000000000001041,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.0050000000000000001041,0.010000000000000000208,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.010000000000000000208,0.025000000000000001388,gain,12.233561271484928668,16.177416010504668265,0.011343184780135299322,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.025000000000000001388,0.050000000000000002776,gain,9.565852469524006807,400.9391592435754319,0.00059646533950250002227,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.050000000000000002776,0.10000000000000000555,gain,0,0,0.011739679080960699342,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.10000000000000000555,0.14999999999999991118,gain,3.3820395745152582734,3.418839823893610852,0.049461802083836096944,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,jpetstore,0.14999999999999991118,0.2000000000000000111,gain,8.164965809277257236,10.1848572735867684,0.04008384992518319867,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0,0.0050000000000000001041,gain,-4.0807221941616891314,-15.919032702801974466,0.0012817117315939000922,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.0050000000000000001041,0.010000000000000000208,gain,0.69049733377661626221,2.2227715537124623779,0.0015532350425831000559,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.010000000000000000208,0.025000000000000001388,gain,3.0410324832673523154,2.8780766011559966167,0.01584929575213130104,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.025000000000000001388,0.050000000000000002776,gain,1.249876915592573523,1.5178515734479371968,0.020586283557906800978,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.050000000000000002776,0.10000000000000000555,gain,0.67656522138525676535,0.68107502791192597869,0.049668919991054702456,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.10000000000000000555,0.14999999999999991118,gain,0.46759501531309322075,0.62823193855429604326,0.037215157859463096623,stable,descriptive interval response; no sweet spot selected
stage3_balance,stage3,xerces,0.14999999999999991118,0.2000000000000000111,gain,0.57617020900563664654,0.47938583652031119264,0.060094621608749197728,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0,0.0050000000000000001041,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.0050000000000000001041,0.010000000000000000208,gain,1.50938555571528088,1.9746489291543416478,0.0038219086274786000582,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.010000000000000000208,0.025000000000000001388,gain,0.58056120934321098215,23.74662666132871891,0.00036672232499989997458,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.025000000000000001388,0.050000000000000002776,gain,-0.47785545568382348236,-0.47024775986806838235,0.025404451465004800059,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.050000000000000002776,0.10000000000000000555,gain,-0.11353406335918800329,-0.91128138652507983952,0.0062293636761372997088,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.10000000000000000555,0.14999999999999991118,gain,0.47926878692346247535,0.69324080573150448359,0.034567266017883901963,stable,descriptive interval response; no sweet spot selected
semantic,stage3,daytrader,0.14999999999999991118,0.2000000000000000111,gain,-0.044957555731463400006,-0.40863084945036270978,0.0055009987366266997408,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0,0.0050000000000000001041,gain,0.057136613103620399745,0.058517011079803997464,0.0048820515649456996954,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.0050000000000000001041,0.010000000000000000208,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.010000000000000000208,0.025000000000000001388,gain,6.044412077335744371,14.032550969060215706,0.0064611332151895996267,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.025000000000000001388,0.050000000000000002776,gain,0,0,0.015490859944421800365,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.050000000000000002776,0.10000000000000000555,gain,0.780141333228474676,1.1439522374734742982,0.034098509870984200498,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.10000000000000000555,0.14999999999999991118,gain,0.97183240647139801371,0.94429552709473141281,0.051458064694078702039,stable,descriptive interval response; no sweet spot selected
semantic,stage3,jpetstore,0.14999999999999991118,0.2000000000000000111,gain,0.81902321754774831675,0.84912472141830186434,0.048227498086484001105,stable,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0,0.0050000000000000001041,gain,0.65231275732936444545,6.9296461661200767779,0.00047066815656369997978,stable,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.0050000000000000001041,0.010000000000000000208,gain,0.066429353530813195494,0.5385522244558231808,0.00061674012764439999426,stable,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.010000000000000000208,0.025000000000000001388,gain,0.0073150081281338997716,0.4068402472189944219,0.00026970075520309997599,stable,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.025000000000000001388,0.050000000000000002776,gain,0.0046673781985164001715,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.050000000000000002776,0.10000000000000000555,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.10000000000000000555,0.14999999999999991118,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
semantic,stage3,xerces,0.14999999999999991118,0.2000000000000000111,gain,0,,0,undefined_near_zero_realised_loss,descriptive interval response; no sweet spot selected
