seed,ari_raw_vs_ssa
0,0.8765928906773978
1,0.8765928906773978
2,0.8765928906773978
3,0.8765928906773978
4,0.8765928906773978
5,0.8765928906773978
6,0.8765928906773978
7,0.8765928906773978
8,0.8765928906773978
9,0.8765928906773978
10,0.8765928906773978
11,0.8765928906773978
12,0.8765928906773978
13,0.8765928906773978
14,0.8765928906773978
15,0.8765928906773978
16,0.8765928906773978
17,0.8765928906773978
18,0.8765928906773978
19,0.8765928906773978
20,0.8765928906773978
21,0.8765928906773978
22,0.8765928906773978
23,0.8765928906773978
24,0.8765928906773978
25,0.8765928906773978
26,0.8765928906773978
27,0.8765928906773978
28,0.8765928906773978
29,0.8765928906773978
