stage,rank_role,focal_cluster_id,external_cluster_id,external_class_count,external_classes,boundary_edge_count,boundary_weight,connected_focal_classes
1,highest,C01,C02,3,"[""org.mybatis.jpetstore.domain.Cart"",""org.mybatis.jpetstore.domain.CartItem"",""org.mybatis.jpetstore.web.actions.CartActionBean""]",4,19,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
1,highest,C01,C03,2,"[""org.mybatis.jpetstore.service.CatalogService"",""org.mybatis.jpetstore.web.actions.CatalogActionBean""]",2,12,"[""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.AccountActionBean""]"
1,highest,C01,C04,3,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.mapper.OrderMapper"",""org.mybatis.jpetstore.service.OrderService""]",4,28,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
1,lowest,C04,C01,2,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]",4,28,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.mapper.OrderMapper"",""org.mybatis.jpetstore.service.OrderService""]"
1,lowest,C04,C02,2,"[""org.mybatis.jpetstore.domain.CartItem"",""org.mybatis.jpetstore.domain.Item""]",3,18,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.service.OrderService""]"
1,lowest,C04,C03,1,"[""org.mybatis.jpetstore.mapper.ItemMapper""]",1,8,"[""org.mybatis.jpetstore.service.OrderService""]"
2,highest,C01,C02,5,"[""org.mybatis.jpetstore.domain.Cart"",""org.mybatis.jpetstore.domain.CartItem"",""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.CartActionBean""]",6,31,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.AccountActionBean"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
2,highest,C01,C03,1,"[""org.mybatis.jpetstore.service.CatalogService""]",1,7,"[""org.mybatis.jpetstore.web.actions.AccountActionBean""]"
2,highest,C01,C04,2,"[""org.mybatis.jpetstore.mapper.OrderMapper"",""org.mybatis.jpetstore.service.OrderService""]",3,25,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
2,lowest,C03,C01,1,"[""org.mybatis.jpetstore.web.actions.AccountActionBean""]",1,7,"[""org.mybatis.jpetstore.service.CatalogService""]"
2,lowest,C03,C02,3,"[""org.mybatis.jpetstore.domain.Item"",""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.CartActionBean""]",5,21,"[""org.mybatis.jpetstore.domain.Product"",""org.mybatis.jpetstore.service.CatalogService"",""org.mybatis.jpetstore.web.actions.CatalogActionBean""]"
2,lowest,C03,C04,1,"[""org.mybatis.jpetstore.mapper.ItemMapper""]",1,8,"[""org.mybatis.jpetstore.service.CatalogService""]"
3,highest,C01,C02,3,"[""org.mybatis.jpetstore.domain.Cart"",""org.mybatis.jpetstore.domain.CartItem"",""org.mybatis.jpetstore.web.actions.CartActionBean""]",4,19,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
3,highest,C01,C03,2,"[""org.mybatis.jpetstore.service.CatalogService"",""org.mybatis.jpetstore.web.actions.CatalogActionBean""]",2,12,"[""org.mybatis.jpetstore.web.actions.AbstractActionBean"",""org.mybatis.jpetstore.web.actions.AccountActionBean""]"
3,highest,C01,C04,3,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.mapper.OrderMapper"",""org.mybatis.jpetstore.service.OrderService""]",4,28,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]"
3,lowest,C04,C01,2,"[""org.mybatis.jpetstore.domain.Order"",""org.mybatis.jpetstore.web.actions.OrderActionBean""]",4,28,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.mapper.OrderMapper"",""org.mybatis.jpetstore.service.OrderService""]"
3,lowest,C04,C02,2,"[""org.mybatis.jpetstore.domain.CartItem"",""org.mybatis.jpetstore.domain.Item""]",3,18,"[""org.mybatis.jpetstore.domain.LineItem"",""org.mybatis.jpetstore.service.OrderService""]"
3,lowest,C04,C03,1,"[""org.mybatis.jpetstore.mapper.ItemMapper""]",1,8,"[""org.mybatis.jpetstore.service.OrderService""]"
