source_class_id,target_class_id,source_display_name,target_display_name,structural_weight,semantic_similarity,edge_category
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Category,Account,Category,,0.55119809653070595,semantic_only
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Order,Account,Order,35,0.57668282393655446,overlap
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,Account,AccountMapper,8,,structural_only
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,Account,AccountService,7,0.55616377875691647,overlap
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.AccountActionBean,Account,AccountActionBean,28,,structural_only
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.OrderActionBean,Account,OrderActionBean,4,,structural_only
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,Cart,CartItem,21,0.73919814038381171,overlap
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,Cart,Item,8,,structural_only
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Order,Cart,Order,5,0.5971305848481312,overlap
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.web.actions.CartActionBean,Cart,CartActionBean,19,0.62179603287082263,overlap
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,CartItem,Item,3,0.61984143816321557,overlap
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.LineItem,CartItem,LineItem,9,0.77237068939097275,overlap
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Order,CartItem,Order,1,,structural_only
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.CartActionBean,CartItem,CartActionBean,2,,structural_only
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Product,Category,Product,,0.82744405789383135,semantic_only
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Sequence,Category,Sequence,,0.51835890323804767,semantic_only
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.CategoryMapper,Category,CategoryMapper,1,0.54805055532637725,overlap
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.service.CatalogService,Category,CatalogService,1,,structural_only
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.CatalogActionBean,Category,CatalogActionBean,3,,structural_only
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem,Item,LineItem,7,0.64524846288944648,overlap
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,Item,Product,5,0.62429423073221724,overlap
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.ItemMapper,Item,ItemMapper,1,,structural_only
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.CatalogService,Item,CatalogService,1,,structural_only
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.OrderService,Item,OrderService,2,,structural_only
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.CartActionBean,Item,CartActionBean,2,,structural_only
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.CatalogActionBean,Item,CatalogActionBean,5,,structural_only
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,LineItem,Order,3,0.68214825431385606,overlap
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.LineItemMapper,LineItem,LineItemMapper,1,,structural_only
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.OrderService,LineItem,OrderService,15,,structural_only
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.OrderMapper,Order,OrderMapper,3,,structural_only
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,Order,OrderService,15,0.59891623352202183,overlap
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.OrderActionBean,Order,OrderActionBean,17,,structural_only
