path,classification,old_selector_dependency,sha256,byte_size,action,replacement_path,replacement_sha256,historical_evidence_retained,reason
results/stage2/cross_subject/formal_statistics/bonferroni_10_vs_12_comparison.csv,obsolete_statistical_report,false,cb88fa3a4040543a1582db5a4333c380e23df300fc857860ea8178f4b385136c,6521,delete_obsolete,results/stage2/cross_subject/formal_statistics/bonferroni_family_audit.csv,,false,Old data-dependent family-10-vs-12 audit replaced by explicit primary structural family 12 and external DayTrader family 2.
results/stage2/cross_subject/diagnostics/daytrader_tradeoff/command_log.md,stale_provenance,true,23316e88b892b2d2fd8453e4725cd1fd1867d4e9270e0a5d213d08a5c8b7b3b5,328,delete_obsolete,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/canonical_profile_refresh_manifest.json,,false,Stale path locator or superseded diagnostic no longer describes an active output.
results/stage2/cross_subject/diagnostics/daytrader_tradeoff/superseded_prior_diagnostic.json,stale_provenance,true,6508a5ddf61ffd158947e49d713015a55049fea5888ca9ec05c216b3503bf580,798,delete_obsolete,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/canonical_profile_refresh_manifest.json,,false,Stale path locator or superseded diagnostic no longer describes an active output.
results/stage2/cross_subject/formal_statistics/max_cluster_posthoc_sensitivity/posthoc_max_cluster_sensitivity_per_seed.csv,superseded_posthoc,true,bf08e442b108842983d04112e57918cfaed38f84142221f4eabf8e1c8e781648,61180,delete_superseded,results/stage2/cross_subject/sensitivity_analysis/max_cluster/,,false,Old-selector max-cluster tables are replaced by the current 5% selector-contract tables.
results/stage2/cross_subject/formal_statistics/max_cluster_posthoc_sensitivity/posthoc_max_cluster_sensitivity_summary.csv,superseded_posthoc,true,c089e2f76230b7d0d69a9528e723c45397d7f50d50cbe6e3292b9b07426fa1be,2268,delete_superseded,results/stage2/cross_subject/sensitivity_analysis/max_cluster/,,false,Old-selector max-cluster tables are replaced by the current 5% selector-contract tables.
results/stage2/subjects/daytrader/nsga/diagnostics/stage2_leiden_tradeoff_audit/audit_manifest.json,superseded_diagnostic,true,7e27a91a7d0c465d9fed7b4f1ef70c3e226b7105ce8eb43c733350ac126c09fd,3171,delete_superseded,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/,,false,Earlier diagnostic was tied to superseded selected profiles; current aligned diagnostics are retained separately.
results/stage2/subjects/daytrader/nsga/diagnostics/stage2_leiden_tradeoff_audit/command_log.md,superseded_diagnostic,true,7d487b8ff9dd1242be117d1cc0d0ab8d35ae7f72eeede2814a0f217637e93c84,4547,delete_superseded,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/,,false,Earlier diagnostic was tied to superseded selected profiles; current aligned diagnostics are retained separately.
results/stage2/subjects/daytrader/nsga/diagnostics/stage2_leiden_tradeoff_audit/data_audit_inventory.csv,superseded_diagnostic,true,339ecc26f1f8d27230eb241d812018688f6ad9f380b0530c5092bdd0645cd340,907,delete_superseded,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/,,false,Earlier diagnostic was tied to superseded selected profiles; current aligned diagnostics are retained separately.
results/stage2/subjects/daytrader/nsga/diagnostics/stage2_leiden_tradeoff_audit/front_spearman_per_seed.csv,superseded_diagnostic,true,7d3247357847c33a428e7c913c740772e6db72e4024a1f784a345a6643ce512a,9151,delete_superseded,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/,,false,Earlier diagnostic was tied to superseded selected profiles; current aligned diagnostics are retained separately.
results/stage2/subjects/daytrader/nsga/diagnostics/stage2_leiden_tradeoff_audit/front_spearman_summary.csv,superseded_diagnostic,true,68b6fa14e95328069afbeef600936a1fae18c20b79c40c0e2b8aea6eb71039b8,1188,delete_superseded,results/stage2/cross_subject/diagnostics/daytrader_tradeoff/,,false,Earlier diagnostic was tied to superseded selected profiles; current aligned diagnostics are retained separately.
