path,classification,needed_by_stage3b,read_allowed,write_allowed,action
.gitignore,Group A,yes,yes,no,retain; no Stage 3B boundary change required
README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/experiments/00_pre_experiment.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/experiments/01_stage1_leiden.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/experiments/02_stage2_nsga_structure_only.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/experiments/04_stage3_semantic.yml,Group C,selectively,selectively,no,reuse only through explicit Stage 3B adapter
configs/experiments/05_stage3_declaration_method_body.yml,Group D,yes,yes,yes,continue only under Stage 3B namespace
configs/experiments/archive/stage2_robustness_bounds_empirical_failed.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/experiments/stage2_robustness_bounds.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/subjects/daytrader.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/subjects/jpetstore.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
configs/subjects/xerces-j.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/.gitkeep,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/daytrader/class_nodes.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/daytrader/ssa_flow_edges.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/daytrader/structural_dependencies.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/jpetstore/class_nodes.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/jpetstore/ssa_flow_edges.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/jpetstore/structural_dependencies.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/xerces-j/class_nodes.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/xerces-j/ssa_flow_edges.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/extracted/xerces-j/structural_dependencies.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/raw_projects/.gitkeep,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/raw_projects/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/references/.gitkeep,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/references/daytrader_reference_services.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/references/daytrader_reference_services.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
data/semantic_inputs/daytrader_class_declarations.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
data/semantic_inputs/jpetstore_class_declarations.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
data/semantic_inputs/xerces-j_class_declarations.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
docs/reports/00_README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/reports/01_test_case_selection_summary.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/reports/02_stage1_cross_case_summary.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/reports/03_ssa_calibration_notes.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/reports/04_xerces-j_sensitivity_notes.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/00_README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/01_stage1_overview.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/02_soot_extraction.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/03_data_schema.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/04_graph_construction.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/05_metric_definitions.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage1/06_xerces-j_extraction_notes.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/encoding_and_operators.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/experiment_design.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/objectives_and_metrics.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/reproducibility.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/stage2_design.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage2/workflow.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
docs/stage3/method_contract.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
experiments/00_pre_experiment/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/00_pre_experiment/run.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/00_pre_experiment/run_daytrader_calibration.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/00_pre_experiment/run_xerces_j_sensitivity.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/01_stage1_leiden_baseline/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/01_stage1_leiden_baseline/run.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/01_stage1_leiden_baseline/run_seed_robustness.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/analyze_final_robustness.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/analyze_max_cluster_posthoc.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/run.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/run_convergence_diagnostic.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/02_stage2_nsga_structure_only/run_robustness.py,Group A,yes,yes,no,retain; no Stage 3B boundary change required
experiments/04_stage3_semantic/run.py,Group C,selectively,selectively,no,reuse only through explicit Stage 3B adapter
