relative_path,before_sha256,after_sha256,unchanged
data/embeddings/declaration_method_body/daytrader/class_ids.csv,d85c3d5823bf78e2f47a57fc9e2bac3c678d10ce49bb52149cdec8c442562980,d85c3d5823bf78e2f47a57fc9e2bac3c678d10ce49bb52149cdec8c442562980,true
data/embeddings/declaration_method_body/daytrader/embedding_hashes.csv,a1ab900ef442a0bf234d210c67dcd2423aff68d83a51ad950177b92609301745,a1ab900ef442a0bf234d210c67dcd2423aff68d83a51ad950177b92609301745,true
data/embeddings/declaration_method_body/daytrader/embedding_metadata.json,5c3c53653ba41934e2fb661b4ee5c354be6fc6eb7a6d7e65031b21c15c547f16,5c3c53653ba41934e2fb661b4ee5c354be6fc6eb7a6d7e65031b21c15c547f16,true
data/embeddings/declaration_method_body/daytrader/embeddings.npy,422f35b2dac5ab2c9d80f631cc3154a7ba6ccadc124837c2e795833c3034f61c,422f35b2dac5ab2c9d80f631cc3154a7ba6ccadc124837c2e795833c3034f61c,true
data/embeddings/declaration_method_body/daytrader/token_lengths.csv,1d6a176859f513ca06cfea943deb8fb8a3f4a7c0cb670225458c91bb1fa74f8f,1d6a176859f513ca06cfea943deb8fb8a3f4a7c0cb670225458c91bb1fa74f8f,true
data/embeddings/declaration_method_body/jpetstore/class_ids.csv,aca600c5c4cee3d35e1d0de04d84680884c0e58ebf298dff04f51d9e03f6c83b,aca600c5c4cee3d35e1d0de04d84680884c0e58ebf298dff04f51d9e03f6c83b,true
data/embeddings/declaration_method_body/jpetstore/embedding_hashes.csv,e6159978d4eda13654564304859a2acfa56748e70ff53b542b7e0cdd9bb2304c,e6159978d4eda13654564304859a2acfa56748e70ff53b542b7e0cdd9bb2304c,true
data/embeddings/declaration_method_body/jpetstore/embedding_metadata.json,77825378d39b848f67b0cf2856521608057e778af2b00827d7271be03f5e96d2,77825378d39b848f67b0cf2856521608057e778af2b00827d7271be03f5e96d2,true
data/embeddings/declaration_method_body/jpetstore/embeddings.npy,6ca1abf13b753a89a7f78e93486a3c24ae4367d4a32edfa367306a79e3297b04,6ca1abf13b753a89a7f78e93486a3c24ae4367d4a32edfa367306a79e3297b04,true
data/embeddings/declaration_method_body/jpetstore/token_lengths.csv,f5657e17257904ee289c8af209fcc5171e8899d1449badc200e258296abe0706,f5657e17257904ee289c8af209fcc5171e8899d1449badc200e258296abe0706,true
data/embeddings/declaration_method_body/xerces/class_ids.csv,fddd1609d142fc7e3f717fd872d8c48d51ba70e1b2c17a35e7c1d58d3927cf55,fddd1609d142fc7e3f717fd872d8c48d51ba70e1b2c17a35e7c1d58d3927cf55,true
data/embeddings/declaration_method_body/xerces/embedding_hashes.csv,9a8d01b4fe41cbf0145587f2dc0516f107aef1e1a9043f4ee247be5325416fbc,9a8d01b4fe41cbf0145587f2dc0516f107aef1e1a9043f4ee247be5325416fbc,true
data/embeddings/declaration_method_body/xerces/embedding_metadata.json,78d35d51fc03045c868f19c0e397ed117fbb9819fe5fdee5de9fa026c085cb7e,78d35d51fc03045c868f19c0e397ed117fbb9819fe5fdee5de9fa026c085cb7e,true
data/embeddings/declaration_method_body/xerces/embeddings.npy,d81607ad9e48ef274ecf65a4e3b1b1c7c22163c3b073831ffbb506bac7601bac,d81607ad9e48ef274ecf65a4e3b1b1c7c22163c3b073831ffbb506bac7601bac,true
data/embeddings/declaration_method_body/xerces/token_lengths.csv,c685f542aa8d97bdf465f21ce9b0c157c87dc34039cb9600a281b8f0df61e49a,c685f542aa8d97bdf465f21ce9b0c157c87dc34039cb9600a281b8f0df61e49a,true
data/semantic_graphs/declaration_method_body/daytrader/artifact_hashes.csv,4abd46be389f75ddb925622923d80db903474f856653da02a74c4853c67f0906,4abd46be389f75ddb925622923d80db903474f856653da02a74c4853c67f0906,true
data/semantic_graphs/declaration_method_body/daytrader/class_mapping.csv,d85c3d5823bf78e2f47a57fc9e2bac3c678d10ce49bb52149cdec8c442562980,d85c3d5823bf78e2f47a57fc9e2bac3c678d10ce49bb52149cdec8c442562980,true
data/semantic_graphs/declaration_method_body/daytrader/directed_topk_neighbours.csv,4413b45633b70df06182de75e43dc5121c2d2bb6cabc94296a96f3641a8d6958,4413b45633b70df06182de75e43dc5121c2d2bb6cabc94296a96f3641a8d6958,true
data/semantic_graphs/declaration_method_body/daytrader/graph_metadata.json,f2551542ba9abfdd3f49bcf6174072b5ed9588c55519d5b41d6e21e1f1efbddf,f2551542ba9abfdd3f49bcf6174072b5ed9588c55519d5b41d6e21e1f1efbddf,true
data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,true
data/semantic_graphs/declaration_method_body/jpetstore/artifact_hashes.csv,95ce387840044be404cea42ac771da07b7fcc8332f65d2eed9bd22027dec8163,95ce387840044be404cea42ac771da07b7fcc8332f65d2eed9bd22027dec8163,true
data/semantic_graphs/declaration_method_body/jpetstore/class_mapping.csv,aca600c5c4cee3d35e1d0de04d84680884c0e58ebf298dff04f51d9e03f6c83b,aca600c5c4cee3d35e1d0de04d84680884c0e58ebf298dff04f51d9e03f6c83b,true
