path,line,matched_text,classification,stage3b_risk,required_action
configs/experiments/05_stage3_declaration_method_body.yml,7,04_stage3_semantic,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,12,semantic_text,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,12,semantic_text,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,13,semantic_text,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,14,semantic_text,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,14,semantic_text,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,17,reports/stage3,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,19,semantic_graph,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,19,semantic_graph,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,24,reports/stage3,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,27,reports/stage3,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
configs/experiments/05_stage3_declaration_method_body.yml,28,04_stage3_semantic,explicit Stage 3B boundary configuration,low,retain; Stage 3A references are declaration-source or forbidden-boundary declarations
reports/stage3_method_body/inherited_stage3a_file_audit.md,6,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,15,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,15,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,23,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,23,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,24,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,25,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,26,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,32,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/inherited_stage3a_file_audit.md,46,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3a_cleanup_candidates.md,11,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3b_artifact_boundary.md,30,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3b_artifact_boundary.md,31,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3b_artifact_boundary.md,36,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3b_artifact_boundary.md,37,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
reports/stage3_method_body/stage3b_artifact_boundary.md,39,semantic_graph,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
