matching_scope,caliper,usable_pairs,mean_imbalance_gap,median_imbalance_gap,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
same_seed,0.01,14,0.005281122016858492,0.00586062534648055,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed,0.025,17,0.007655150991100934,0.0069701399814759,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed,0.05,21,0.01318641697916642,0.0081711888247203,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed,0.1,27,0.02468659657830843,0.0091247422336931,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
pooled,0.01,18,0.004045052762776305,0.00325144595294625,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
pooled,0.025,23,0.006223405935310649,0.0041389507726052,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
pooled,0.05,26,0.009930511231586534,0.00556525235286515,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
pooled,0.1,27,0.011854030426316421,0.0060664391671421,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.01,2,0.00456237111684655,0.00456237111684655,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.025,2,0.00456237111684655,0.00456237111684655,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.05,3,0.016571205099852767,0.0091247422336931,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
