seed,front_solution_count,final_population_size,front_equals_final_population,unique_objective_vectors,unique_canonical_partitions,front_validation_passed,has_generation_history,note
0,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
1,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
2,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
3,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
4,100,100,True,99,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
5,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
6,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
7,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
8,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
9,100,100,True,99,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
10,100,100,True,99,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
11,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
12,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
13,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
14,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
15,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
16,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
17,99,100,False,99,99,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
18,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
19,100,100,True,99,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
20,96,100,False,96,96,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
21,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
22,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
23,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
24,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
25,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
26,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
27,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
28,99,100,False,99,99,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
29,100,100,True,100,100,True,False,"Formal artifacts contain final fronts and per-run summaries, but no generation-by-generation hypervolume/objective history."
