path,line,matching_text,literal_class,commit,date,label,mean,median,seed_inventory,source_partition,evaluator,reference,direction,coverage,missing_seed,seed0_included,aggregation,rounding
.venv/lib/python3.13/site-packages/matplotlib/mpl-data/sample_data/Stocks.csv,402,"2014-11-01,111.49117279052734,26.729284286499023,41.67144012451172,28.27128028869629,16.93199920654297,,549.0800170898438,73.68000030517578,2067.56005859375,4791.6298828125",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/matplotlib/mpl-data/sample_data/msft.csv,38,"30-Jul-03,26.46,26.57,26.17,26.23,41240300,26.08",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/mpmath/calculus/extrapolation.py,1951,        23.41432688231864337420035,23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/mpmath/calculus/extrapolation.py,1953,        23.41432688231864337420035,23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/scipy/linalg/tests/test_lapack.py,548,"                          [-15.57 - 23.41j, -57.97 + 8.14j],",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/sklearn/datasets/data/breast_cancer.csv,3,"20.57,17.77,132.9,1326,0.08474,0.07864,0.0869,0.07017,0.1812,0.05667,0.5435,0.7339,3.398,74.08,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,24.99,23.41,158.8,1956,0.1238,0.1866,0.2416,0.186,0.275,0.08902,0",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/sklearn/datasets/data/breast_cancer.csv,307,"11.6,24.49,74.23,417.2,0.07474,0.05688,0.01974,0.01313,0.1935,0.05878,0.2512,1.786,1.961,18.21,0.006122,0.02337,0.01596,0.006998,0.03194,0.002211,12.44,31.62,81.39,476.5,0.09545,0.1361,0.07239,0.04815,0.3244,0.06745,1",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
.venv/lib/python3.13/site-packages/sklearn/datasets/data/breast_cancer.csv,402,"17.91,21.02,124.4,994,0.123,0.2576,0.3189,0.1198,0.2113,0.07115,0.403,0.7747,3.123,41.51,0.007159,0.03718,0.06165,0.01051,0.01591,0.005099,20.8,27.78,149.6,1304,0.1873,0.5917,0.9034,0.1964,0.3245,0.1198,0",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
data/semantic_text/declaration_method_body/xerces/class_semantic_inputs.csv,562,""",30,0,1,0,566c2efec30c42dabb0f02d6e0165d34c108c8f2821c1d81ff3350f1c7fd53d4,stage3_declaration_method_body,declaration_method_body_v1,data/semantic_inputs/xerces-j_class_declarations.csv,2352575ba8552ee8d55a4b641d017d0542316561731dced47fe7625a4792a524,a53ff7eb7a34b09f73c817105e90a68eed3a38ae6d96693bdc7edd21433ea5b4,true,242,323,55,55,66,317,0,false,false,31,31,0,not_detected,58,60,1,0,104,5,5,841,1ef42c3c09cf5c0bf7d20b030fb1d49fe7107a20f64445c6db804f9821794b2d",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
reports/preference_analysis/preference_external_metrics_summary.csv,9,"stage2,daytrader,conservative,mojofm_vs_reference,available,30,23.913043478260864,23.55072463768116,3.8043478260869641,0,-0.36231884057970554,0,0,0,-1.6666666666666643,-0.65217391304348027",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
