file,status,exact_match,normalised_match
figure_data/semantic_response.csv,EXACT,True,True
figure_data/stage2_response.csv,EXACT,True,True
figure_data/stage3a_response.csv,EXACT,True,True
figure_data/stage3b_response.csv,EXACT,True,True
figures/stage2_balance_preference_response.pdf,EXACT,True,True
figures/stage2_balance_preference_response.png,EXACT,True,True
figures/stage2_stage3_balance_comparison.pdf,EXACT,True,True
figures/stage3a_balance_preference_response.pdf,EXACT,True,True
figures/stage3a_semantic_preference_response.pdf,EXACT,True,True
figures/stage3b_balance_preference_response.pdf,EXACT,True,True
figures/stage3b_semantic_preference_response.pdf,EXACT,True,True
five_percent_operating_profile.csv,EXACT,True,True
five_percent_operating_profile_summary.md,EXACT,True,True
leiden_baseline_metrics.csv,EXACT,True,True
marginal_exchange_rates.csv,EXACT,True,True
marginal_exchange_rates_summary.md,EXACT,True,True
preference_analysis_manifest.json,NORMALISED,False,True
preference_availability.csv,EXACT,True,True
preference_external_metrics_per_seed.csv,EXACT,True,True
preference_external_metrics_summary.csv,EXACT,True,True
preference_final_conclusions.md,EXACT,True,True
preference_partition_stability.csv,EXACT,True,True
preference_partition_stability_summary.md,EXACT,True,True
preference_secondary_costs_per_seed.csv,EXACT,True,True
preference_secondary_costs_summary.csv,EXACT,True,True
preference_statistical_summary.md,EXACT,True,True
preference_statistical_tests.csv,EXACT,True,True
profile_comparison_per_seed.csv,EXACT,True,True
profile_comparison_summary.csv,EXACT,True,True
profile_comparison_summary.md,EXACT,True,True
realised_modularity_loss.csv,EXACT,True,True
reverse_balance_target_per_seed.csv,EXACT,True,True
reverse_balance_target_summary.csv,EXACT,True,True
reverse_balance_target_summary.md,EXACT,True,True
reverse_semantic_target_per_seed.csv,EXACT,True,True
reverse_semantic_target_summary.csv,EXACT,True,True
scientific_artifact_integrity.csv,EXACT,True,True
source_artifact_inventory.csv,EXACT,True,True
stage2_budgeted_balance_per_seed.csv,EXACT,True,True
stage2_budgeted_balance_summary.csv,EXACT,True,True
stage2_budgeted_balance_summary.md,EXACT,True,True
stage2_leiden_front_mechanism_per_seed.csv,EXACT,True,True
stage2_leiden_front_mechanism_summary.md,EXACT,True,True
stage3_budgeted_balance_per_seed.csv,EXACT,True,True
stage3_budgeted_balance_summary.csv,EXACT,True,True
stage3_budgeted_balance_summary.md,EXACT,True,True
stage3_budgeted_semantic_cross_evaluation.csv,EXACT,True,True
stage3_budgeted_semantic_per_seed.csv,EXACT,True,True
stage3_budgeted_semantic_summary.csv,EXACT,True,True
stage3_budgeted_semantic_summary.md,EXACT,True,True
stage3_leiden_front_mechanism_per_seed.csv,EXACT,True,True
stage3_leiden_front_mechanism_summary.md,EXACT,True,True
