path,sha256,bytes
reports/preference_analysis_audit/atomic_write_summary.md,229f4f8bde856435fba8348877b66826a172857cbe90fbe13589680c7d804139,215
reports/preference_analysis_audit/atomic_write_test_results.csv,8137018087fcc53b0c577bcc09da4e6aa2131278a9639b66fc9b9de07c8bbe9d,190
reports/preference_analysis_audit/availability_reporting_rules.md,835bf796bead1066b08a325678b92598032defa3c330b018e84fa9ec77614551,596
reports/preference_analysis_audit/availability_wording_audit.csv,37c530323ec91d42e7ece42639c3d8c341c776ea6863098cb095947dca11981e,1906
reports/preference_analysis_audit/budget_grid_provenance.md,611a263e0d10605049c187ea19050df7fd4a3fb53570e5815e917f5393b7674f,825
reports/preference_analysis_audit/conditional_summary_audit.csv,51915af0c0ef5a94303949c495c970daedb63da43a12735e067614c277f476af,1207
reports/preference_analysis_audit/conditional_summary_recomputation.csv,b531f74a531ca411bc96bdbbc2dc35a19522b87e0ae0d1650db25e58edfa617c,1038461
reports/preference_analysis_audit/daytrader_mojofm_occurrence_inventory.csv,771c3ebe864b10a9d33f942cfa97a742e9c95c7f83b83026b14a4f9ea3898df8,15774
reports/preference_analysis_audit/daytrader_mojofm_resolution.csv,34f801d8569800398050366bc41550c3366cbbcc37b54e88ab8fae35c4782606,517
reports/preference_analysis_audit/daytrader_stage2_mojofm_authoritative_per_seed.csv,90343d204767202322ed72308226a705509c7db230f4777b06a5fefe4d03f017,12360
reports/preference_analysis_audit/daytrader_stage2_mojofm_authoritative_summary.md,5d2e2d89c298778a29f3abbb36851b42a00a2486402011d140c55981b445e54e,757
reports/preference_analysis_audit/external_metric_provenance.csv,a111b99d4767dc542be3fb7c5fc4d0c60e75049a1eb20f441380c0a530382ef7,16200
reports/preference_analysis_audit/full_regeneration_file_comparison.csv,c11ea7874e0ab6b68c82b6bebbb27a7f4a5f4f61a7a89582f2b468b5b4a6bd31,2815
reports/preference_analysis_audit/full_regeneration_summary.md,ac8c15b378e6eaec4f7c765d6f18a4b0302b078d34cc3723400a442d4b386434,580
reports/preference_analysis_audit/jpetstore_100pct_imbalance_audit.md,45dc77415f3ea1034d4693b3e6c4e6fa7de1b3d639cea196d30841b54b8164ba,999
reports/preference_analysis_audit/jpetstore_100pct_imbalance_per_seed.csv,65f22d57d7c72aed8fb2b7530bf946a89ea94547e124978d4b9b3feff3a6d7a9,322404
reports/preference_analysis_audit/lock_lifecycle_summary.md,b6af2cee1dd857bb77682121a023185a14b3080589fe3c09257f0f95e86407cc,383
reports/preference_analysis_audit/lock_lifecycle_test_results.csv,42cdadf69d304a9f730c749dd7ea763117bd9cbaaa7e507bf20d83c90cd74892,924
reports/preference_analysis_audit/preference_analysis_scientific_status.md,6b030b9050839af9a6450ab81e245df9615c6439daf97d4d76e77bc43c310c18,1082
reports/preference_analysis_audit/preference_analysis_timeline.csv,ffb4bd39e21ce87bad03003a3d80289198c7120f8f62853d256f162c161c7196,2045
reports/preference_analysis_audit/profile_definition_provenance.csv,40534c3443e9e5fe74d59b30cbab7a6c35e548d955c5ad6dadf1390a3d6998a4,3492
reports/preference_analysis_audit/reproducibility_environment.json,3b0af767635294732e696dea4b2eb01f6b6ea0cf8f08b3122b229cbcaf69d518,2600
reports/preference_analysis_audit/reproducibility_environment.md,83f1f244b409b66f549016f0f02c38a9602da2cc969f672f15276c93edacd1df,2780
reports/preference_analysis_audit/resume_safety_summary.md,1ede3840a81264813db153f00acb2f36511ae3d9d7eaf072eee6e84e604ffbf6,321
reports/preference_analysis_audit/resume_safety_test_results.csv,d20dbc7966b607fe36f8b4038c27b8e9ecbb9854af9a73cd0152953fd445e86e,416
reports/preference_analysis_audit/source_artifact_integrity.csv,317b9d91ed5660db751beb5489486a618acc272f40747e68fa63fb0cf18e345d,150840
reports/preference_analysis_audit/thesis_eligibility_matrix.csv,c8e098aa44e4557c761e257ab4eacb69d4bc6aaec355acaaa63aaa6a05c3a7d9,5429
reports/preference_analysis_audit/thesis_eligibility_summary.md,362c320c3c230f0033a3250222c4868d1704d47dfd992dc2ea80172ba8ae8ed8,582
reports/preference_analysis_audit/vectorized_reference_equivalence.csv,76c78221856996b81b4ce8d2b588dace0fb96d4eeab6be1c8ec45762b8079ebe,227324
reports/preference_analysis_audit/vectorized_reference_equivalence_summary.md,d7cdaaf45a470546c253e195f4aac3d78c702a8d8295bbe59a64a611fa8b8ec9,748
reports/preference_analysis_audit/zero_budget_availability_audit.csv,17ae731b7c2352be25df34e0db732cb7806fc8d3a4aaabeff2ddd0c6fb7422f2,52290
