stage,subject,profile,metrics,reference_status,reference_path,reference_sha256,evaluator,seed_count_in_source,finite_mojofm_n,aggregation,selection_influenced_by_external_metrics,unavailable_means_not_zero
stage2,daytrader,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,13,"median, mean, IQR over finite available per-seed values",False,False
stage2,daytrader,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage2,daytrader,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage2,daytrader,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage2,jpetstore,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,jpetstore,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,jpetstore,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,jpetstore,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,xerces,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,xerces,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
