subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,_knee_distance
jpetstore,stage2,0,conservative,,selected,0,seed0_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,,False,True,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,0,budgeted_balance_0.010,,selected,0,seed0_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,,False,True,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,0,budgeted_balance_0.025,,selected,0,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,,False,False,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,0,budgeted_balance_0.050,,selected,0,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,,False,False,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,0,budgeted_balance_0.100,,selected,0,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,,False,False,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,0,knee_native,,selected,0,seed0_solution019,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43013869836915097356,0.68395061728395045719,2.1640625,5,4.7999999999999998224,6,2,0.25,0,0.30618621784789717966,0.31604938271604932076,8.2600000000000015632,0.30618621784789717966,,0.026989194668358400947,-0.50000000000000033307,,False,False,0.026989194668358400947,,False,False,0.44206980643194632163,0.20412414523193139759,,0.82855251333259938296
jpetstore,stage2,0,extreme_balance,,selected,0,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,,False,False,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,1,conservative,,selected,0,seed1_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,,False,True,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,1,budgeted_balance_0.010,,selected,0,seed1_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,,False,True,0.44206980643194632163,0.20412414523193139759,,
jpetstore,stage2,1,budgeted_balance_0.025,,selected,0,seed1_solution002,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43669257735101352225,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.25185185185185182677,4.9083333333333332149,0.11785113019775790566,,0.012163755594017399558,0.42264973081037410241,,False,False,0.012163755594017399558,,False,False,0.44206980643194632163,0.20412414523193139759,,
