source,target,type_weight,call_weight,return_flow_weight,argument_flow_weight,ssa_flow_weight,g_ssa_weight
org.easymock.Capture,org.easymock.CaptureType,5.0,0.0,0.0,21.0,5.25,10.25
org.easymock.Capture,org.easymock.EasyMock,12.0,8.0,0.0,0.0,0.0,20.0
org.easymock.Capture,org.easymock.internal.matchers.Captures,2.0,2.0,0.0,24.0,6.0,10.0
org.easymock.Capture$1,org.easymock.CaptureType,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.CaptureType,org.easymock.EasyMock,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.ConstructorArgs,org.easymock.IMocksControl,2.0,0.0,0.0,6.0,1.5,3.5
org.easymock.ConstructorArgs,org.easymock.internal.AndroidClassProxyFactory,1.0,4.0,0.0,0.0,0.0,5.0
org.easymock.ConstructorArgs,org.easymock.internal.ClassProxyFactory,2.0,4.0,0.0,3.0,0.75,6.75
org.easymock.ConstructorArgs,org.easymock.internal.IProxyFactory,1.0,0.0,0.0,3.0,0.75,1.75
org.easymock.ConstructorArgs,org.easymock.internal.JavaProxyFactory,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.ConstructorArgs,org.easymock.internal.MockBuilder,2.0,8.0,0.0,0.0,0.0,10.0
org.easymock.ConstructorArgs,org.easymock.internal.MocksControl,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.EasyMock,org.easymock.EasyMockSupport,0.0,6.0,0.0,0.0,0.0,6.0
org.easymock.EasyMock,org.easymock.IArgumentMatcher,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.EasyMock,org.easymock.IExpectationSetters,3.0,0.0,0.0,0.0,0.0,3.0
org.easymock.EasyMock,org.easymock.IMockBuilder,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.EasyMock,org.easymock.IMocksControl,4.0,16.0,0.0,0.0,0.0,20.0
org.easymock.EasyMock,org.easymock.LogicalOperator,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.EasyMock,org.easymock.MockType,5.0,0.0,0.0,30.0,7.5,12.5
org.easymock.EasyMock,org.easymock.internal.DefaultClassInstantiator,0.0,4.0,0.0,0.0,0.0,4.0
org.easymock.EasyMock,org.easymock.internal.EasyMockProperties,0.0,8.0,0.0,0.0,0.0,8.0
org.easymock.EasyMock,org.easymock.internal.Injector,0.0,2.0,3.0,3.0,1.5,3.5
org.easymock.EasyMock,org.easymock.internal.Invocation,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMock,org.easymock.internal.LastControl,0.0,62.0,0.0,0.0,0.0,62.0
org.easymock.EasyMock,org.easymock.internal.MockBuilder,0.0,12.0,0.0,0.0,0.0,12.0
org.easymock.EasyMock,org.easymock.internal.MocksControl,1.0,26.0,0.0,0.0,0.0,27.0
org.easymock.EasyMock,org.easymock.internal.matchers.Any,0.0,0.0,0.0,30.0,7.5,7.5
org.easymock.EasyMock,org.easymock.internal.matchers.ArrayEquals,0.0,18.0,0.0,27.0,6.75,24.75
org.easymock.EasyMock,org.easymock.internal.matchers.Captures,0.0,16.0,0.0,24.0,6.0,22.0
org.easymock.EasyMock,org.easymock.internal.matchers.Compare,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.CompareEqual,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.Contains,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.EndsWith,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.Equals,0.0,18.0,0.0,27.0,6.75,24.75
org.easymock.EasyMock,org.easymock.internal.matchers.EqualsWithDelta,0.0,4.0,0.0,6.0,1.5,5.5
org.easymock.EasyMock,org.easymock.internal.matchers.Find,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.GreaterOrEqual,0.0,14.0,0.0,21.0,5.25,19.25
org.easymock.EasyMock,org.easymock.internal.matchers.GreaterThan,0.0,14.0,0.0,21.0,5.25,19.25
org.easymock.EasyMock,org.easymock.internal.matchers.InstanceOf,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.LessOrEqual,0.0,14.0,0.0,21.0,5.25,19.25
org.easymock.EasyMock,org.easymock.internal.matchers.LessThan,0.0,14.0,0.0,21.0,5.25,19.25
org.easymock.EasyMock,org.easymock.internal.matchers.Matches,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.NotNull,0.0,0.0,0.0,6.0,1.5,1.5
org.easymock.EasyMock,org.easymock.internal.matchers.Null,0.0,0.0,0.0,6.0,1.5,1.5
org.easymock.EasyMock,org.easymock.internal.matchers.Same,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMock,org.easymock.internal.matchers.StartsWith,0.0,2.0,0.0,3.0,0.75,2.75
org.easymock.EasyMockExtension,org.easymock.EasyMockSupport,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockListener,org.easymock.EasyMockSupport,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockRule,org.easymock.internal.EasyMockStatement,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockRunner,org.easymock.EasyMockSupport,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockSupport,org.easymock.EasyMockSupport$ObjectMockingHelper,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockSupport,org.easymock.IMockBuilder,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockSupport,org.easymock.IMocksControl,4.0,32.0,0.0,0.0,0.0,36.0
org.easymock.EasyMockSupport,org.easymock.MockType,5.0,0.0,0.0,21.0,5.25,10.25
org.easymock.EasyMockSupport,org.easymock.internal.EasyMockStatement,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.EasyMockSupport,org.easymock.internal.Injector,0.0,4.0,3.0,3.0,1.5,5.5
org.easymock.EasyMockSupport,org.easymock.internal.MockBuilder,2.0,12.0,0.0,3.0,0.75,14.75
org.easymock.EasyMockSupport,org.easymock.internal.MocksControl,0.0,4.0,0.0,0.0,0.0,4.0
org.easymock.EasyMockSupport,org.easymock.internal.ReflectionUtils,0.0,2.0,0.0,0.0,0.0,2.0
org.easymock.IAnswer,org.easymock.IExpectationSetters,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.IMocksControlState,2.0,0.0,0.0,6.0,1.5,3.5
org.easymock.IAnswer,org.easymock.internal.MocksControl,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.RecordState,3.0,0.0,0.0,6.0,1.5,4.5
org.easymock.IAnswer,org.easymock.internal.ReplayState,2.0,0.0,0.0,0.0,0.0,2.0
org.easymock.IAnswer,org.easymock.internal.Result,4.0,2.0,0.0,9.0,2.25,8.25
org.easymock.IAnswer,org.easymock.internal.Result$1DelegatingAnswer,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IAnswer,org.easymock.internal.Result$1ReturningAnswer,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IAnswer,org.easymock.internal.Result$1ThrowingAnswer,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IArgumentMatcher,org.easymock.internal.ExpectedInvocation,0.0,4.0,0.0,0.0,0.0,4.0
org.easymock.IArgumentMatcher,org.easymock.internal.LastControl,1.0,0.0,0.0,3.0,0.75,1.75
org.easymock.IArgumentMatcher,org.easymock.internal.matchers.And,1.0,4.0,0.0,0.0,0.0,5.0
org.easymock.IArgumentMatcher,org.easymock.internal.matchers.Any,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IArgumentMatcher,org.easymock.internal.matchers.Captures,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IArgumentMatcher,org.easymock.internal.matchers.Compare,1.0,0.0,0.0,0.0,0.0,1.0
org.easymock.IArgumentMatcher,org.easymock.internal.matchers.CompareTo,1.0,0.0,0.0,0.0,0.0,1.0
